Version,Servicing option,Availability date,Latest revision date,Latest build,"End of servicing: Home, Pro, Pro Education, and Pro for Workstations","End of servicing: Enterprise, Education, IoT Enterprise, and Enterprise multi-session"
24H2,General Availability Channel,2024-10-01,2025-01-28,26100.3037,2026-10-13,2027-10-12
23H2,General Availability Channel,2023-10-31,2025-01-29,22631.4830,2025-11-11,2026-11-10
22H2,General Availability Channel,2022-09-20,2025-01-29,22621.4830,End of servicing,2025-10-14
Version,Servicing option,Availability date,Latest revision date,OS build,Mainstream support end date,Extended support end date
24H2,Long-Term Servicing Channel (LTSC),2024-10-01,2025-01-28,26100.3037,2029-10-09,2034-10-10
Servicing option,Availability date,Build,KB article
LTSC • General Availability Channel,2025-01-28,26100.3037,KB5050094
LTSC • General Availability Channel,2025-01-14,26100.2894,KB5050009
LTSC • General Availability Channel,2024-12-10,26100.2605,KB5048667
LTSC • General Availability Channel,2024-11-21,26100.2454,KB5046740
LTSC • General Availability Channel,2024-11-12,26100.2314,KB5046617
LTSC • General Availability Channel,2024-10-24,26100.2161,KB5044384
LTSC • General Availability Channel,2024-10-08,26100.2033,KB5044284
LTSC • General Availability Channel,2024-10-01,26100.1742,
General Availability Channel,2025-01-29,22631.4830,KB5050092
General Availability Channel,2025-01-14,22631.4751,KB5050021
General Availability Channel,2024-12-10,22631.4602,KB5048685
General Availability Channel,2024-11-21,22631.4541,KB5046732
General Availability Channel,2024-11-12,22631.4460,KB5046633
General Availability Channel,2024-10-22,22631.4391,KB5044380
General Availability Channel,2024-10-08,22631.4317,KB5044285
General Availability Channel,2024-09-26,22631.4249,KB5043145
General Availability Channel,2024-09-10,22631.4169,KB5043076
General Availability Channel,2024-08-27,22631.4112,KB5041587
General Availability Channel,2024-08-13,22631.4037,KB5041585
General Availability Channel,2024-07-25,22631.3958,KB5040527
General Availability Channel,2024-07-09,22631.3880,KB5040442
General Availability Channel,2024-06-25,22631.3810,KB5039302
General Availability Channel,2024-06-11,22631.3737,KB5039212
General Availability Channel,2024-05-29,22631.3672,KB5037853
General Availability Channel,2024-05-14,22631.3593,KB5037771
General Availability Channel,2024-04-23,22631.3527,KB5036980
General Availability Channel,2024-04-09,22631.3447,KB5036893
General Availability Channel,2024-03-26,22631.3374,KB5035942
General Availability Channel,2024-03-12,22631.3296,KB5035853
General Availability Channel,2024-02-29,22631.3235,KB5034848
General Availability Channel,2024-02-13,22631.3155,KB5034765
General Availability Channel,2024-01-23,22631.3085,KB5034204
General Availability Channel,2024-01-09,22631.3007,KB5034123
General Availability Channel,2023-12-12,22631.2861,KB5033375
General Availability Channel,2023-12-04,22631.2792,KB5032288
General Availability Channel,2023-11-14,22631.2715,KB5032190
General Availability Channel,2023-10-31,22631.2506,KB5031455
General Availability Channel,2023-10-31,22631.2428,
General Availability Channel,2025-01-29,22621.4830,KB5050092
